id,name,host_id,location,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,review_scores_rating,cancellation_policy
5593888,Cozy South End Guest Room,21009959,"Massachusetts Ave, Boston, MA 02118, United States",South End,2118,42.33937306,-71.07480099,Apartment,Private room,2,1,1,1,$89.00,2,86,strict
9706279,#great location #modern living,7410606,"Harrison Avenue, Boston, MA 02118, United States",South End,2118,42.34610947,-71.06348826,Apartment,Private room,1,1,1,1,$80.00,2,100,flexible
14817983,Unique and Cozy South End Roof Deck Retreat,47283683,"East Springfield Street, Boston, MA 02118, United States",South End,2118,42.33608007,-71.07425896,Apartment,Private room,2,1,1,1,$119.00,3,,flexible
7592616,South End 1 Bdrm with Private Deck,4031770,"Shawmut Avenue, Boston, MA 02118, United States",South End,2118,42.34221761,-71.06976149,Apartment,Entire home/apt,2,1,1,1,$140.00,2,100,flexible
826555,Cozy place in the heart of Boston,4335656,"Chandler St, Boston, MA 02116, United States",South End,2116,42.34714203,-71.07442765,Apartment,Entire home/apt,4,1,1,2,$84.00,5,80,moderate
7740592,Luxury in the Perfect Location,4552954,"West Canton Street, Boston, MA 02118, United States",South End,2118,42.34403206,-71.07408005,House,Entire home/apt,4,2.5,2,2,$700.00,4,100,strict
13605430,Amazing 1.5 BR in the heart of the South End,52469325,"Waltham Street, Boston, MA 02118, United States",South End,2118,42.34338451,-71.06881168,Condominium,Entire home/apt,2,1,2,1,$250.00,6,,flexible
10656206,Large 2 Bedrooms Boston South End,4897723,"Massachusetts Avenue, Boston, MA 02118, United States",South End,2118,42.340754,-71.08183368,Apartment,Entire home/apt,4,1,2,2,$200.00,1,93,strict
14486599,Stunning Rooftop Home with Comfort and Style,47283683,"East Springfield Street, Boston, MA 02118, United States",South End,2118,42.33679018,-71.07545931,Apartment,Private room,2,1,1,1,$99.00,3,,flexible
7095320,2 Bed/1 Bath South End at Dog Park!,37189820,"Shawmut Avenue, Boston, MA 02118, United States",South End,2118,42.33971998,-71.07510804,Apartment,Entire home/apt,4,1,2,2,$150.00,1,70,flexible
12308161,Boston Centrally Located Brownstone,66371429,"Massachusetts Avenue, Boston, MA 02118, United States",South End,2118,42.33975454,-71.0790043,Apartment,Private room,2,1,1,1,$119.00,1,97,strict
9508975,South End Charm,21737209,"East Brookline Street, Boston, MA 02118, United States",South End,2118,42.33865083,-71.0705896,Apartment,Entire home/apt,4,1,2,2,$300.00,2,100,moderate
6248526,South End 1bd near everything,1782413,"Warren Avenue, Boston, MA 02116, United States",South End,2116,42.3442062,-71.07222802,Apartment,Entire home/apt,2,1,1,1,$170.00,4,90,strict
1071144,[1358-S]Small Studio In South End,25188,"Columbus Avenue, Boston, MA 02118, United States",South End,2118,42.34179689,-71.07819514,Apartment,Entire home/apt,2,1,,1,$269.00,3,91,super_strict_30
989163,"Victorian Dream Studio, South End",5430185,"Tremont Street, Boston, MA 02118, United States",South End,2118,42.34285805,-71.07339305,Apartment,Entire home/apt,2,1,1,1,$170.00,32,98,strict
9197535,Spacious room in back bay,33311329,"Dartmouth Street, Boston, MA 02116, United States",South End,2116,42.34560256,-71.0757107,Apartment,Private room,1,1,1,1,$100.00,1,73,strict
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,"Chandler St, Boston, MA 02116, United States",South End,2116,42.34495654,-71.07485746,Bed & Breakfast,Private room,1,,1,1,$135.00,1,88,moderate
12916551,Luxury2BEDS/south end/Boston downtown/Free parking,70833557,"Columbus Avenue, Boston, MA 02118, United States",South End,2118,42.34150455,-71.08087506,Apartment,Entire home/apt,6,1,1,2,$159.00,1,98,strict
7214920,South End 2 Bed w/ Parking & Patio,20062444,"East Brookline Street, Boston, MA 02118, United States",South End,2118,42.33683259,-71.0694973,Condominium,Entire home/apt,3,1,2,2,$250.00,1,92,flexible
7755144,Nice South End Condo.,29806038,"Tremont St, Boston, MA 02118, United States",South End,2118,42.33947729,-71.07938026,Apartment,Entire home/apt,3,1,1,1,$225.00,2,98,strict
10391455,Heart of Boston - Semi-Private Room,10115868,"Massachusetts Avenue, Boston, MA 02118, United States",South End,2118,42.34105938,-71.08073924,Apartment,Private room,2,1,1,1,$75.00,3,96,moderate
5639731,Ideal Studio in Back Bay/S. End,1444340,"Concord Square, Boston, MA 02118, United States",South End,2118,42.3424239,-71.07909613,Apartment,Entire home/apt,2,1,0,1,$144.00,2,83,strict
9574727,Modern studio in Boston’s South End,2976895,"Harrison Avenue, Boston, MA 02118, United States",South End,2118,42.34539308,-71.06303906,Apartment,Entire home/apt,1,1,0,1,$170.00,4,100,strict
6134013,1 Bedroom in Victorian Brownstone,331174,"Ringgold Street, Boston, MA 02118, United States",South End,2118,42.34306172,-71.07275114,House,Private room,2,1,1,1,$120.00,2,98,moderate
14522631,Luxury 2 beds /free parking/South end,70833557,"Tremont Street, Boston, MA 02118, United States",South End,2118,42.33914266,-71.07978998,Apartment,Entire home/apt,4,1,1,2,$139.00,1,100,strict
4461846,"Columbus Ave By Maverick, ThirtySix",22348222,"Columbus Avenue, Boston, MA 02116, United States",South End,2116,42.34362446,-71.07729755,Apartment,Entire home/apt,2,1,0,1,$147.00,7,75,strict
6444303,"zWestPrivateBedBath MinsToBus,Metro",1651480,"West Brookline Street, Boston, MA 02118, United States",South End,2118,42.34179502,-71.07566432,Apartment,Private room,2,1,1,1,$217.00,2,99,strict
824244,Cozy place in The Heart of Boston,4335656,"Chandler St, Boston, MA 02116, United States",South End,2116,42.34675815,-71.07416682,Apartment,Private room,4,1,1,1,$95.00,5,,flexible
22208,[1358] Small Studio in South End,25188,"Columbus Avenue, Boston, MA 02118, United States",South End,2118,42.34320988,-71.07776036,Apartment,Entire home/apt,2,1,,1,$225.00,3,90,super_strict_30
7575052,Sunny and Quiet top floor #8,9653086,"Tremont Street, Boston, MA 02118, United States",South End,2118,42.34055092,-71.07510738,Apartment,Entire home/apt,4,1,1,2,$200.00,1,97,strict
